Name:counter
letter,exact_counts,fixed_counts,fixed_prob_small,fixed_prob_av,fixed_prob_larg,fixed_max_dev,fixed_mad,fixed_stdd_dev,csuros_counts,cs_small,cs_av,cs_larg,cs_max_dv,cs_mad,cs_stdd_dev 
Name: english
1000
A,274729,34338098,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,4120935,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
B,48591,6074619,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,728865,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
C,54474,6810626,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,817110,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
D,157575,19698109,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,2363625,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
E,410413,51301059,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,6156195,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
F,83161,10391779,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,1247415,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
G,54881,6859336,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,823215,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
H,282157,35266263,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,4232355,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
I,192842,24103745,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,2892630,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
J,8794,1099232,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,131910,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
K,22151,2768340,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,332265,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
L,129454,16176952,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,1941810,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
M,79575,9944403,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,1193625,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
N,224033,28000395,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,3360495,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
O,241855,30231047,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,3627825,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
P,42810,5353801,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,642150,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
Q,953,119188,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,14295,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
R,169169,21147125,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,2537535,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
S,189270,23656794,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,2839050,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
T,316234,39525122,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,4743510,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
U,82970,10371551,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,1244550,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
V,30253,3784279,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,453795,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
W,65218,8150951,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,978270,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
X,1450,181285,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,21750,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
Y,58254,7288107,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,873810,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
Z,2970,370322,Q:119188,15500481.846,E:51301059,35800577.154,11764569.899,13758665.573,44550,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
Name: english
10000
A,274729,343427181,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,4120935,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
B,48591,60732906,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,728865,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
C,54474,68103004,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,817110,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
D,157575,196972592,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,2363625,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
E,410413,513044561,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,6156195,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
F,83161,103942832,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,1247415,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
G,54881,68599935,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,823215,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
H,282157,352703293,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,4232355,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
I,192842,241044011,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,2892630,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
J,8794,10986536,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,131910,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
K,22151,27689727,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,332265,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
L,129454,161835034,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,1941810,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
M,79575,99465877,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,1193625,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
N,224033,280038903,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,3360495,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
O,241855,302352759,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,3627825,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
P,42810,53515120,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,642150,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
Q,953,1193096,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,14295,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
R,169169,211479671,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,2537535,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
S,189270,236604568,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,2839050,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
T,316234,395306738,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,4743510,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
U,82970,103728267,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,1244550,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
V,30253,37816610,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,453795,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
W,65218,81522444,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,978270,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
X,1450,1812826,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,21750,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
Y,58254,72802106,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,873810,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
Z,2970,3712759,Q:1193096,155016667.538,E:513044561,358027893.462,117663536.006,137604575.678,44550,Q:14295,1860136.154,E:6156195,4296058.846,1411882.101,1651169.358
Name: french
1000
A,89766,11220350,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,1346490,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
B,10069,1258476,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,151035,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
C,37607,4697668,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,564105,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
D,42729,5340000,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,640935,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
E,197762,24723706,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,2966430,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
F,13108,1637632,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,196620,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
G,12087,1513454,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,181305,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
H,9861,1234552,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,147915,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
I,83961,10494239,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,1259415,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
J,4222,527786,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,63330,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
K,187,23351,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,2805,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
L,64136,8014090,W:889,5639036.692,E:24723706,19084669.308,4568389.237,5613034.606,962040,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
